epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.97552,4.89426,5.22524,4.63966,6e-05,0.00108,3e-05,0,4.98637,4.32256,4.16003,4.287e-05,4.287e-05,4.287e-05
2,9.92279,4.7512,5.02161,4.47926,0,0,0,0,4.98642,4.32149,4.16066,9.95349e-05,9.95349e-05,9.95349e-05
3,13.4625,4.91433,4.62571,4.41145,0,0,0,0,4.9864,4.32453,4.16137,0.000155634,0.000155634,0.000155634
4,16.915,4.88912,4.4214,4.26209,6e-05,0.00108,3e-05,0,4.98822,4.32901,4.1633,0.000211167,0.000211167,0.000211167
5,20.0367,4.82976,4.19887,4.20486,5e-05,0.00108,3e-05,0,4.9893,4.33501,4.16476,0.000266134,0.000266134,0.000266134
6,23.3786,4.70417,3.9617,4.14591,6e-05,0.00108,3e-05,0,4.99263,4.34538,4.16767,0.000320535,0.000320535,0.000320535
7,27.0599,4.74259,3.80673,4.07882,0,0,0,0,4.99529,4.36076,4.17124,0.000374371,0.000374371,0.000374371
8,30.0994,4.62831,3.6891,4.01483,0,0,0,0,4.99941,4.38615,4.17737,0.00042764,0.00042764,0.00042764
9,33.5039,4.49691,3.45242,3.95157,0,0,0,0,5.00792,4.41347,4.18655,0.000480344,0.000480344,0.000480344
10,36.7859,4.14599,3.15347,3.94991,0,0,0,0,5.01842,4.44537,4.19833,0.000532482,0.000532482,0.000532482
11,39.9802,4.05203,3.03501,3.84445,0,0,0,0,5.02656,4.47184,4.21107,0.000584054,0.000584054,0.000584054
12,42.8637,3.86733,2.91822,3.62155,0,0,0,0,5.03214,4.49305,4.22328,0.00063506,0.00063506,0.00063506
13,45.6884,3.50891,2.63234,3.55768,0,0,0,0,5.03709,4.51223,4.23349,0.0006855,0.0006855,0.0006855
14,48.5102,3.48436,2.69596,3.42266,0,0,0,0,5.03863,4.52602,4.24117,0.000735374,0.000735374,0.000735374
15,51.7066,3.33475,2.43663,3.27797,0,0,0,0,5.04851,4.56325,4.25705,0.000784682,0.000784682,0.000784682
16,54.4633,3.09376,2.31903,3.15387,0,0,0,0,5.04785,4.57401,4.26296,0.000833425,0.000833425,0.000833425
17,57.2277,3.1739,2.48146,3.12334,0,0,0,0,5.04861,4.58555,4.26927,0.000881602,0.000881602,0.000881602
18,60.3564,3.01233,2.26761,2.95706,0,0,0,0,5.04946,4.59939,4.28,0.000929212,0.000929212,0.000929212
19,63.4097,2.95814,2.28962,2.93089,0,0,0,0,5.04998,4.60664,4.28328,0.000976257,0.000976257,0.000976257
20,66.4765,2.83963,2.05229,2.7513,0.0001,0.00108,5e-05,1e-05,5.04953,4.61388,4.28581,0.00102274,0.00102274,0.00102274
21,69.2894,2.81859,2.0832,2.669,0.0001,0.00108,5e-05,1e-05,5.05211,4.47847,4.28376,0.00106865,0.00106865,0.00106865
22,72.4268,2.64531,1.99368,2.55797,0,0,0,0,5.04245,4.45089,4.26689,0.001114,0.001114,0.001114
23,75.2082,2.6583,1.95638,2.49586,0.0001,0.00108,5e-05,1e-05,5.03684,4.44861,4.26019,0.00115878,0.00115878,0.00115878
24,77.9599,2.47325,1.95055,2.51988,0.0001,0.00108,5e-05,1e-05,5.02814,4.54077,4.24886,0.00120299,0.00120299,0.00120299
25,80.7019,2.62572,1.89354,2.4379,0.0001,0.00108,5e-05,1e-05,4.99428,4.48241,4.21329,0.00124664,0.00124664,0.00124664
26,83.4403,2.30319,1.76171,2.33376,9e-05,0.00143,0.00171,0.00034,4.89454,4.32115,4.13197,0.00125216,0.00125216,0.00125216
27,86.5211,2.46661,1.78794,2.39535,0.00049,0.00751,0.00469,0.00162,4.82251,4.23006,4.07072,0.00124509,0.00124509,0.00124509
28,89.3062,2.42551,1.81593,2.30541,0.0021,0.03648,0.02649,0.00744,4.66534,4.10531,3.96416,0.00123801,0.00123801,0.00123801
29,92.1489,2.30219,1.72873,2.25954,0.99035,0.14401,0.20078,0.07295,3.94039,3.64436,3.64127,0.00123094,0.00123094,0.00123094
30,95.3682,2.29027,1.76427,2.29467,0.98084,0.21118,0.24762,0.08564,3.55146,3.26804,3.41382,0.00122387,0.00122387,0.00122387
31,98.1756,2.16254,1.62273,2.22552,0.99109,0.22389,0.34441,0.13292,3.22458,3.04013,3.21709,0.00121679,0.00121679,0.00121679
32,101.328,2.20283,1.59102,2.15135,0.81048,0.29883,0.42544,0.18078,2.91769,2.83539,3.06891,0.00120972,0.00120972,0.00120972
33,104.159,2.209,1.63228,2.23488,0.51324,0.39215,0.5015,0.20337,2.86356,2.83146,3.01628,0.00120265,0.00120265,0.00120265
34,107.454,2.21945,1.62795,2.11578,0.87995,0.48172,0.57926,0.21762,2.77249,2.62276,2.96453,0.00119557,0.00119557,0.00119557
35,110.666,2.13808,1.60532,2.10314,0.84447,0.50841,0.61293,0.25767,2.57396,2.41985,2.82556,0.0011885,0.0011885,0.0011885
36,113.714,2.26129,1.82368,2.23323,0.74478,0.48181,0.60544,0.22921,2.85311,2.58888,2.86532,0.00118143,0.00118143,0.00118143
37,116.73,2.15783,1.6749,2.15296,0.74986,0.46264,0.54507,0.17079,2.83635,2.46127,2.8064,0.00117435,0.00117435,0.00117435
38,119.516,2.05628,1.59624,2.07972,0.74957,0.58238,0.67689,0.25185,2.36879,2.23211,2.60973,0.00116728,0.00116728,0.00116728
39,122.609,2.24324,1.68063,2.06242,0.8017,0.66401,0.74317,0.31395,2.21095,2.05934,2.55423,0.00116021,0.00116021,0.00116021
40,125.704,2.1846,1.60583,2.07142,0.81602,0.67734,0.753,0.33789,2.22277,2.10976,2.53822,0.00115313,0.00115313,0.00115313
41,128.765,2.04048,1.55784,2.05146,0.88646,0.66418,0.75069,0.32467,2.38393,2.24688,2.54085,0.00114606,0.00114606,0.00114606
42,131.759,2.05403,1.60983,2.04526,0.90452,0.67152,0.76768,0.34339,2.20982,2.01132,2.42126,0.00113898,0.00113898,0.00113898
